,I18,I20,I21,I22,I23,I24,J18,J19,J20,J21,J22,J23,J24
ENSG00000071082,3.923636209499408,3.5078006973767915,3.6535034092758947,3.575242754492245,3.6718597681781593,3.6541071761326362,3.4950623439807185,3.6674247029726628,3.4505619186829217,3.778929473133176,3.6532681056182734,3.554752990641895,3.529952061793567
ENSG00000148303,3.9451852612485983,3.5078006973767915,4.05433302089975,3.903680335044108,3.780405063474361,3.611212479983045,4.048697976064761,3.8723012193435156,3.671861802515977,3.8297317253808005,3.8712169224981996,3.776311265168773,3.858015811471134
ENSG00000146731,2.6928245990661535,3.248713776758877,2.7033402363299337,2.732877828980749,2.6759718924879063,3.3179116843490775,2.7827756247221447,2.5711710666518153,3.0384205170311556,2.7970921590240616,2.985697367125115,2.7382059116013373,2.800756276744835
ENSG00000083845,3.137116955699143,3.36052217380362,3.483501256008881,3.2107041106343264,2.820239626361859,3.500071815962077,2.993468679166794,3.2503015391284933,3.0718583843122786,3.32510822309965,3.0978530129885966,3.398475345984951,3.3662597446707014
ENSG00000255823,3.137116955699143,2.93923346042757,3.020489435479612,3.230500034318312,2.9462941792954913,3.0950102219578963,2.7827756247221447,3.2503015391284933,2.7665824309644704,3.069410017615005,2.7528794311669254,3.1218730624995183,3.0384755773671115
ENSG00000164587,4.147182445718997,3.810700117788551,4.029872694179852,4.077606343941877,3.9238927638633956,4.004677655732197,4.029621891988235,3.9729230242214872,4.2047561746734905,4.099441042128585,3.8464331514252854,3.9712953712020655,4.054840968883377
ENSG00000019582,4.102657479770917,3.973692484307767,4.146597101391024,4.232936110821742,4.236941731475199,3.9807362288545103,4.197643653222369,4.042256698539675,4.2047561746734905,4.17236388791035,4.3410579049990705,4.157282250946899,4.292280770133703
ENSG00000163191,4.254444125710712,4.242166253822126,4.062355288694924,4.150503012421617,4.228763352422385,4.192815319528677,4.103835440227249,4.2346261071682685,4.256362419906749,4.280574226663258,4.109659582921888,4.086981877246271,3.961263111470157
ENSG00000181019,4.0560572828595145,3.8022344945977564,3.9962994546266826,3.971327798452118,4.195364102084641,3.809358048916355,4.13030449882827,4.1175022050669146,4.044245877302037,4.14563709626873,4.165905727383761,4.086981877246271,4.140406447959285
ENSG00000125691,3.7709640402539173,3.6946284652981674,3.665457595504585,3.680579525507455,3.483138061172535,3.892116869011781,3.4950623439807185,3.7751006088268526,3.5772894976473717,3.7918740344666717,3.5741155110108394,3.6898766432795163,3.4858518442451443
ENSG00000182899,3.867640007052319,3.605571327442664,3.6414045897623937,3.6292974786524774,3.6574241496943958,3.5845637539250745,3.7154196057147266,3.61747483020997,3.616198099387318,3.912862069373913,3.606532157069179,3.6341862738464354,3.6891480769451803
ENSG00000096384,3.5753980382857558,3.8680339048091454,3.777741260053538,3.798338815957401,3.6574241496943958,3.943713792644681,3.527403290028753,3.3882206450376935,3.596933021493102,3.545155521952597,3.808066304566872,3.5952581307891416,3.793848681687271
ENSG00000142676,3.5598492768453265,3.7936965923079855,3.5786122429131457,3.532693463655254,3.3926183508430294,3.593525800745911,3.511363553406211,3.634403527926848,3.536805513932631,3.889807249900538,3.52343078516729,3.1218730624995183,3.6127146511735155
ENSG00000122406,3.271200926575438,3.139444242550541,3.2246390065608175,3.105381581263455,3.4298151268997588,3.219166465213202,3.2547060146676796,3.298419315261387,3.0718583843122786,3.2169030773610663,3.245533373035062,3.1532401144156066,3.3662597446707014
ENSG00000198744,3.8324726195685943,3.55243826312207,3.798760659565245,3.7411915764024823,3.8783134488777775,3.439497642313956,3.862299017891516,3.8317949305401973,3.7245897546330164,3.8046531731750313,3.7406572530478077,3.7927365266913866,3.826446835873853
ENSG00000167553,3.635282634984192,3.740879268996114,3.6167587481651964,3.787167649782918,3.889904515928389,3.6199398791934243,3.7154196057147266,3.3443276764738035,3.806725574287823,3.697532600849498,3.808066304566872,3.8710443570343034,3.6705804066065517
ENSG00000247627,3.35154104995959,3.626058494765902,3.18700783484664,3.2876398267774847,3.581944308932432,3.352564225669798,3.511363553406211,3.321636919939687,3.2519357639114816,3.5285586222710643,3.5741155110108394,3.34893967404526,3.415825622722621
ENSG00000109475,3.2284731684882577,3.2338160330525034,3.4691442702800406,3.692999407177585,3.465677779597897,3.3295964627358865,3.702147394274824,3.564898185964244,3.4277865599628408,3.49451486734977,3.557504412827506,3.7077715864038665,3.415825622722621
ENSG00000196230,4.027017860557751,4.029407307376217,4.086043031540009,3.8203135930175,3.978092296513719,4.004677655732197,3.827551786255574,3.984817631984927,4.006222819989018,3.9464773240080775,4.2531433734378945,3.7077715864038665,4.116697025463242
ENSG00000196262,3.9344687794548676,3.685115953674964,3.745359799462472,3.9136289731160017,3.9238927638633956,3.7269652924716588,3.7668140862045347,3.9238771816857883,3.616198099387318,3.866208337084412,3.7949431183100595,3.998184783129671,3.81028058285676
ENSG00000234745,4.102657479770917,3.8438636412534044,3.9790804644837996,4.0520767577099726,4.009255782374256,3.8515933425452515,3.990342051358119,4.127803853662741,4.056605599090645,4.099441042128585,3.9646313973301557,4.201545488547947,3.988904986021578
ENSG00000142871,2.3903037106936758,2.8980969779836414,2.6717457250075634,2.434576581621819,2.7860766486921924,3.0802132001604865,2.815731336416723,2.7887314887052583,2.6730957471144903,2.5630525568647355,2.6750254774310402,2.8694947151801347,2.5476333030438534
ENSG00000249072,3.0881056747046842,2.9591840478253633,3.042884932295637,3.190508380498099,2.885251807987741,3.219166465213202,2.599424942242136,3.1734838353395207,2.514107080960038,3.0425653622732725,3.014937421021827,3.1218730624995183,3.07313076091063
ENSG00000108298,3.2284731684882577,3.2778595254544314,3.4545781554033086,3.503286974382339,3.3926183508430294,3.439497642313956,3.444500995202471,3.6674247029726628,3.2240857921984984,3.545155521952597,3.2223853165213447,3.2418374758346387,3.415825622722621
ENSG00000087460,3.844333030365923,3.7498781643741688,3.7343286982452875,3.359076958354364,3.8783134488777775,3.802142094082529,3.7285179703708953,3.8317949305401973,4.031731479038851,3.924193173141576,3.7949431183100595,3.9712953712020655,4.002444577574423
ENSG00000154978,1.6877814535457367,3.01675334711826,1.951057433291481,1.8646030413913226,0.9898413873802884,2.8271185654580253,1.5667299452604397,1.695788847985277,2.253045890380962,2.1298163030311805,2.085686322926927,2.191941059890587,2.123520408486718
ENSG00000213741,3.663931692177766,3.4610771434079846,3.6889456171291832,3.8093865646263474,3.533761023294588,3.557185384849089,3.6185874334231585,3.564898185964244,3.3054115742156083,3.725407571591806,3.6223547462358936,3.4456726140039255,3.5926572583728276
ENSG00000034510,3.5598492768453265,3.4120630392116857,3.665457595504585,3.680579525507455,3.2719279278415563,3.5098201540703893,3.444500995202471,3.5094030860892365,3.3561722995177297,3.593354835260808,3.3741844028992642,3.6898766432795163,3.632377642668142
ENSG00000136810,3.8560544190675703,3.740879268996114,3.8786803994916585,3.8834811169197665,3.8182528666779514,3.439497642313956,3.827551786255574,3.845480145497954,3.7582578675463587,3.968275696978913,3.9534207815135214,3.9575745728794116,3.6891480769451803
ENSG00000167658,3.461109424616568,3.595168166795423,3.4095618007082575,3.4257493171439473,3.566139775098198,3.529036289967855,3.444500995202471,3.8317949305401973,3.4044803709474647,3.7918740344666717,3.726612492599909,3.296821750252998,3.6127146511735155
ENSG00000072110,3.5907087326688902,3.8993781697270924,3.1479049970820308,3.4257493171439473,3.373487908204226,3.7652599709229535,3.6185874334231585,3.298419315261387,3.494613173024029,3.1210295852656613,3.245533373035062,3.2697074742525536,2.965339839674915
ENSG00000170315,3.443661572849194,3.2338160330525034,3.3624230563032356,3.4257493171439473,3.533761023294588,3.3060887560750833,3.315519334923364,3.450646391463074,3.279031084265601,3.5285586222710643,3.2223853165213447,3.4456726140039255,3.439716712364762
ENSG00000244052,3.0626687835601163,3.1877429792902006,3.107210685221776,3.0829173584571965,3.373487908204226,3.1381312531587104,2.908543641360718,3.225345599065225,2.8922232090563083,3.1210295852656613,3.245533373035062,3.0213977654501263,3.2590868864503832
ENSG00000008988,3.4951175748251244,3.5078006973767915,3.483501256008881,3.692999407177585,3.313797555844236,3.500071815962077,3.478490995451343,3.409465179780162,3.635099038174292,3.6089184797181493,3.557504412827506,3.4223524019174465,3.3141083816500334
ENSG00000143947,3.1607502814876693,3.263392831681874,3.497655032726315,3.105381581263455,3.411389678920371,3.2320561650075508,3.444500995202471,3.2746498143263896,3.3561722995177297,3.45927116447489,3.2902814658725705,3.2418374758346387,3.286976006942536
