GENES,L19,L24,K18,L23,K23
ENSG00000132341,2.9206270209924448,2.9292927217959916,2.9876742731934423,3.0158260640491994,3.00641023196012
ENSG00000188846,2.6323604217819225,3.221807569613337,2.922275259461573,2.8698097664484017,3.00641023196012
ENSG00000225630,2.331436917435831,3.0652434215651727,3.4519486496968588,3.0350481840037413,2.8973555755653986
ENSG00000026508,3.527559356278388,2.310979989596351,1.9258785509174619,2.3134173013234056,2.235827458702224
ENSG00000163466,2.974786504736343,2.879533193533096,2.8027690140832524,2.7506923203682128,2.748544656607301
ENSG00000114391,2.427034324518692,3.086207846769472,2.8522980603410737,2.8238510755546025,2.9424143305874972
ENSG00000197061,2.8026248278392147,2.9047224270710736,2.7770531202653848,2.7506923203682128,2.9201387180356875
ENSG00000131747,3.0508939151555654,2.8536930307952515,2.8522980603410737,2.8470944229269297,2.8006479133077216
ENSG00000166598,2.974786504736343,2.9532737662582784,2.723548118524086,2.67175589490944,2.8006479133077216
ENSG00000153187,3.398215828874764,2.9292927217959916,2.475280235878329,2.586050366440419,2.748544656607301
ENSG00000174444,2.948073374270822,2.879533193533096,2.7770531202653848,2.913748739800992,2.664916523426226
ENSG00000166441,2.7379547891454257,2.799918947993123,2.7770531202653848,2.52453981912366,2.541279613375632
ENSG00000161011,3.398215828874764,2.51409142634444,1.9258785509174619,1.8162105650922196,2.3615473185118185
ENSG00000242071,3.0985935406573017,2.879533193533096,2.9445535519423123,2.7756780048944165,3.211227604029944
ENSG00000187109,2.948073374270822,2.5501943451663167,2.8994893135385644,2.6154426365680328,2.8257156519504147
ENSG00000008394,3.4809938416330906,2.999576618766616,2.723548118524086,2.6987663147922025,2.541279613375632
ENSG00000135506,0.9356174748518672,2.8536930307952515,2.5098994237939567,2.7506923203682128,2.8501703356562453
ENSG00000138668,3.2496218265358645,2.999576618766616,3.1254471528256595,3.143212950649651,3.1593971627304382
ENSG00000102317,3.0750281077322423,2.799918947993123,2.6670176938547527,2.3134173013234056,2.8973555755653986
ENSG00000165119,3.0008045709488727,2.4766361088478366,2.2815413039138037,2.8470944229269297,2.8006479133077216
ENSG00000243859,2.1075030654526383,2.7719071673595916,2.607099088779856,2.9962272005623616,3.0268633521916586
ENSG00000117450,3.345046689727698,2.682831771999989,2.7770531202653848,2.7756780048944165,2.774935590249597
ENSG00000219928,2.8633654801957547,3.1659287770029594,2.7506584248691976,2.8238510755546025,2.774935590249597
ENSG00000150687,2.7708124941572883,2.7430880578430834,2.5433601178299035,2.52453981912366,2.693576707113212
ENSG00000104904,3.1661305081352205,2.1123251335497333,2.5433601178299035,2.6439956112558414,2.8257156519504147
ENSG00000119335,3.2293933721603025,2.618710534352989,2.8994893135385644,2.8238510755546025,2.7214383187552693
ENSG00000100345,2.974786504736343,2.799918947993123,2.6375071041031664,2.4245398330208157,2.541279613375632
ENSG00000170421,2.7379547891454257,2.799918947993123,2.7506584248691976,2.6439956112558414,2.774935590249597
ENSG00000075415,2.555212259898904,2.7719071673595916,2.607099088779856,2.8000545927720357,2.6354106359909837
ENSG00000110958,3.2087472644005017,2.51409142634444,2.7770531202653848,2.6154426365680328,2.774935590249597
ENSG00000213585,3.121616405280421,2.9292927217959916,2.7770531202653848,2.8920205628863487,2.985530031274556
ENSG00000110321,3.026162828072709,2.7430880578430834,2.575737349415911,2.3888536198814205,2.235827458702224
ENSG00000181163,3.121616405280421,2.799918947993123,3.0879815901538867,2.8920205628863487,3.1047327729669987
ENSG00000117523,2.8924060551179265,2.879533193533096,2.6375071041031664,3.1768154400967985,2.6354106359909837
ENSG00000169100,3.464977354978879,2.999576618766616,2.575737349415911,2.586050366440419,2.6050076133284232
ENSG00000008018,3.4967578391195566,2.9532737662582784,2.6375071041031664,2.6439956112558414,2.8006479133077216
ENSG00000270906,2.427034324518692,2.5850391335367315,3.0290122080796023,2.6154426365680328,3.1047327729669987
ENSG00000167642,2.8633654801957547,2.799918947993123,3.008556828537073,2.913748739800992,3.046906513235764
ENSG00000130402,3.269449190577127,2.999576618766616,2.723548118524086,2.8000545927720357,2.7214383187552693
ENSG00000221983,2.6323604217819225,2.310979989596351,2.1921506495547103,2.4245398330208157,2.3213715932852654
ENSG00000176340,3.0985935406573017,2.8536930307952515,2.827840146677328,2.8000545927720357,2.874041235654764
